stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,text_3.started,text_3.stopped,cue_tap_imagine.started,cross_imagine.started,text.started,cue_tap_imagine.stopped,cross_imagine.stopped,text.stopped,text_4.started,text_4.stopped,cue_imagine.started,cross_imagine_2.started,text_2.started,cross_imagine_2.stopped,text_2.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,cross_listen.stopped,cue_imagine.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp2.wav,1,0,1,0,0,2,2,1,1,0,1,0,,,,,,,,,,546.5682221836653,546.5657074349983,551.3694801836648,551.3657124659985,,,,,,,,,,,,,,,,,,,561.3655548280003,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,2,2,1,2,0,2,0,,,,,,,,,,561.3653551696664,561.3655548280003,566.1489331746673,566.1654397569982,,,,,,,,,,,,,,,,,,,576.1654169709982,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,2,2,1,3,0,3,0,,,,,,,,,,576.1654179026666,576.1654169709982,580.9649974026654,580.9702827939982,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,,,,590.9647508319977,591.970522716998,591.9646063406656,591.970522716998,591.970522716998,596.7696261099991,,,606.7811952649972,,607.7819725296652,607.7811971730007,607.7811971730007,,,622.5807394240001,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,0,0,0,0,,,,,,,,,625.5873907389978,627.5807339366659,627.5842366519973,632.3635916046662,632.3851382039975,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,1,0,1,0,,,,,,,,,,642.3801204736667,642.3858936729994,647.1689235336673,647.1801958439974,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,2,0,2,0,,,,,,,,,,657.1838724276643,657.1818881229992,661.9811249936649,,,,,,,,,,,,,,,,,,,,671.9795840919978,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,3,0,3,0,,,,,,,,,,671.980939272664,671.9795840919978,676.7807009726641,676.7795428200006,,,,,,,,,,,,,,,,,,,686.7790406229979,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,686.7790406229979,687.7830262149982,687.7791854366662,687.7830262149982,687.7830262149982,692.5823031750006,,,702.5955591169986,,703.5843210586647,703.5787002189973,703.5787002189973,718.3784908159978,718.3784908159978,718.3784908159978,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
