%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
27.0, -3720.8948994749667, -937.856845600229, 9618.648543196743, -14107.236457733687, -187500.02235174447, -8012.027503493728, -2490.520774188134, -341.7805244661003, 0.9480000000000001, -0.006, 0.186, 192.0, 29.0, 160.0, 255.0, 208.0, 5.0, 208.0, 0.0, 0.0, 0.0, 1.679087131061149E9, 0.0, 2023-03-17 14:05:31.061
28.0, -3765.665443618947, -1018.3901808727004, 9546.407705117192, -14192.374252363952, -187500.02235174447, -8103.289676104746, -2560.973472711262, -397.8610513044657, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713106908E9, 0.0, 2023-03-17 14:05:31.069
29.0, -3737.457542116349, -993.7362067384967, 9560.93633901314, -14134.37147550243, -187500.02235174447, -8093.544315522232, -2546.2436731152147, -342.29461458857236, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6790871310691E9, 0.0, 2023-03-17 14:05:31.069
30.0, -3673.7103669298135, -915.6168598671985, 9620.369627519802, -14049.501901805628, -187500.02235174447, -8022.845747810095, -2471.5441431455783, -279.2403434801511, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713107518E9, 0.0, 2023-03-17 14:05:31.075
31.0, -3692.3293700610843, -911.6829528430645, 9638.34043006187, -14082.001338243645, -187500.02235174447, -8019.627096608531, -2464.749212831165, -284.9847418051651, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131082721E9, 0.0, 2023-03-17 14:05:31.082
32.0, -3736.40701012695, -983.9908461559828, 9574.235626964048, -14167.027374151634, -187500.02235174447, -8086.88349567455, -2550.8704842174634, -400.2750397056389, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131082777E9, 0.0, 2023-03-17 14:05:31.082
33.0, -3753.751963824268, -1010.6117738022535, 9539.433960847135, -14171.475371298238, -187500.02235174447, -8120.411112357511, -2572.529324594656, -385.7687575541446, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131090542E9, 0.0, 2023-03-17 14:05:31.090
34.0, -3692.664646227914, -925.7645518499079, 9615.005208850529, -14072.904178250335, -187500.02235174447, -8032.144073503504, -2493.471204456235, -280.7155586142014, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131090563E9, 0.0, 2023-03-17 14:05:31.090
35.0, -3696.7773672076905, -898.7412928034416, 9653.450209313656, -14073.59708232845, -187500.02235174447, -8002.125680700026, -2462.782259319098, -294.0595500540197, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131098776E9, 0.0, 2023-03-17 14:05:31.098
36.0, -3768.034728531209, -988.371788069223, 9572.335728685348, -14187.814496495068, -187500.02235174447, -8086.279998574258, -2553.3738795964578, -365.31691137753864, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131098791E9, 0.0, 2023-03-17 14:05:31.098
37.0, -3779.9929118147984, -1022.2346809190132, 9529.085103164329, -14204.600656581004, -187500.02235174447, -8140.415923645011, -2600.3795981859685, -391.2225832012395, 0.98, -0.006, 0.196, 192.0, 30.0, 160.0, 255.0, 208.0, 6.0, 32.0, 0.0, 0.0, 0.0, 1.679087131105271E9, 0.0, 2023-03-17 14:05:31.105
38.0, -3719.7102570188354, -948.5856829387765, 9588.585446904355, -14108.510507167639, -187500.02235174447, -8083.486030517344, -2535.9842224102285, -319.7193526887122, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131105285E9, 0.0, 2023-03-17 14:05:31.105
39.0, -3677.2866460426626, -885.2855426413469, 9656.355936092847, -14057.54852980954, -187500.02235174447, -8021.102311742582, -2482.988236306696, -263.0129770055982, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131113306E9, 0.0, 2023-03-17 14:05:31.113
40.0, -3730.3273356351065, -947.9598340940279, 9614.28995302796, -14146.530824486117, -187500.02235174447, -8055.702812159398, -2524.2048530822817, -334.4715040292149, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131113316E9, 0.0, 2023-03-17 14:05:31.113
41.0, -3767.297120964184, -1015.1491779266809, 9539.925699225152, -14204.444194369817, -187500.02235174447, -8125.931993237972, -2587.0579584906054, -412.2332229892282, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131121438E9, 0.0, 2023-03-17 14:05:31.121
42.0, -3709.271992358207, -944.7411828924636, 9595.08980454085, -14106.811774589036, -187500.02235174447, -8069.538541977232, -2514.5936029665, -355.88447521739903, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131121462E9, 0.0, 2023-03-17 14:05:31.121
43.0, -3672.0786895845763, -886.1796124195591, 9649.404543567247, -14058.666117032304, -187500.02235174447, -8008.272410425236, -2442.2857096535813, -265.33755842895016, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131128505E9, 0.0, 2023-03-17 14:05:31.128
44.0, -3747.918158521433, -956.6770144315976, 9595.223915007582, -14163.51815027215, -187500.02235174447, -8072.153696078503, -2500.914335359852, -326.38017253639373, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131128522E9, 0.0, 2023-03-17 14:05:31.128
45.0, -3786.4749177068375, -1032.4941316239992, 9520.569088526856, -14234.730808106759, -187500.02235174447, -8147.590833615164, -2590.768348070186, -423.2079295167839, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131134953E9, 0.0, 2023-03-17 14:05:31.134
46.0, -3751.3156236786394, -989.9811136700051, 9553.6049668318, -14165.440400295307, -187500.02235174447, -8104.608429027609, -2560.7052517777984, -376.626894071924, 0.98, -0.006, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131142951E9, 0.0, 2023-03-17 14:05:31.142
47.0, -3698.1855271083746, -922.054162270327, 9611.5183367155, -14096.775841328603, -187500.02235174447, -8028.165462990459, -2495.751082390676, -317.4171230098156, 0.996, -0.006, 0.194, 192.0, 31.0, 32.0, 255.0, 208.0, 6.0, 16.0, 0.0, 0.0, 0.0, 1.679087131143011E9, 0.0, 2023-03-17 14:05:31.143
48.0, -3735.8035130266567, -943.5565404363324, 9610.445452981647, -14149.995344876688, -187500.02235174447, -8035.54153866071, -2503.820062139042, -323.0721143570083, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131150948E9, 0.0, 2023-03-17 14:05:31.150
49.0, -3757.238835959296, -1004.1968231435804, 9550.676888308155, -14210.948552006312, -187500.02235174447, -8103.580248782665, -2580.5983043430215, -390.8873070344099, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131150964E9, 0.0, 2023-03-17 14:05:31.150
50.0, -3735.9376234933884, -983.9684944115276, 9563.484437881045, -14163.205225849775, -187500.02235174447, -8104.787242983251, -2549.842303972519, -378.88442026191, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131157576E9, 0.0, 2023-03-17 14:05:31.157
51.0, -3678.180715820875, -909.2689644418913, 9625.242307811059, -14078.939149253269, -187500.02235174447, -8065.425820997456, -2485.558686919056, -289.8127186075114, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131157593E9, 0.0, 2023-03-17 14:05:31.157
52.0, -3716.40219883945, -920.7130576030086, 9629.422084024201, -14127.397731232373, -187500.02235174447, -8052.841788869118, -2510.3467715199913, -282.8836778263662, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131165691E9, 0.0, 2023-03-17 14:05:31.165
53.0, -3780.5070019372706, -1011.8411197472955, 9542.69731553761, -14237.882404074957, -187500.02235174447, -8129.418865373, -2586.588571857044, -405.21477523026175, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131165708E9, 0.0, 2023-03-17 14:05:31.165
54.0, -3775.0308245457204, -1012.2210994030356, 9533.488396822024, -14211.283828173142, -187500.02235174447, -8130.983487484871, -2602.905345309418, -418.3576009699823, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131173546E9, 0.0, 2023-03-17 14:05:31.173
55.0, -3693.379902050484, -921.0259820253829, 9609.66314192571, -14097.938132040279, -187500.02235174447, -8046.4491899549, -2492.2865620001035, -321.73100968968987, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713117356E9, 0.0, 2023-03-17 14:05:31.173
56.0, -3709.987248180777, -914.8345488112627, 9631.098464858349, -14117.898239838869, -187500.02235174447, -8028.903070557484, -2463.072831997017, -310.8233583955, 0.996, -0.006, 0.194, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131180637E9, 0.0, 2023-03-17 14:05:31.180
57.0, -3773.7344233673125, -1006.2531836334687, 9555.884844766242, -14230.10399700451, -187500.02235174447, -8106.664789517497, -2563.3427576235244, -400.74442633920034, 1.002, -0.004, 0.2, 192.0, 31.0, 80.0, 255.0, 224.0, 6.0, 64.0, 0.0, 0.0, 0.0, 1.679087131180648E9, 0.0, 2023-03-17 14:05:31.180
