stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,Introduction.stopped,listen_instr.started,key_continue.started,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,cross_listen.stopped,Tap_Imagine_instruction_2.started,Tap_Imagine_instruction_2.stopped,cue_tap_imagine.started,cross_imagine.started,cue_tap_imagine.stopped,cross_imagine.stopped,Imagine_instruction_2.started,cue_imagine.started,cross_imagine_2.started,Instruction_next_trial.started,cue_imagine.stopped,Imagine_instruction_2.stopped,cross_imagine_2.stopped,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,909.4737183080069,917.4737120090067,917.473777721669,917.4737120090067,922.2734776770012,932.2741904870054,932.2741904870054,940.2755781876733,940.2729888150061,955.0726050060039,,940.2729888150061,955.0726050060039,959.0725224790003,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,0,0,0,0,,,,,,,,,959.0725224790003,963.0726638646704,963.0751561040015,967.8723405666717,967.8725535460035,,,,,,,,,,,,,,,,963.0751561040015,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,1,0,1,0,,,,,,,,,,977.8933068116714,977.889374352002,982.6888400256687,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,2,0,2,0,,,,,,,,,,992.7052120896735,992.7062447040007,997.4883502486666,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,3,0,3,0,,,,,,,,,,1007.5221726176717,1007.5214073590032,1012.3212903596689,1012.3220380750063,1022.3209997320009,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,,1022.3209997320009,1030.3208806290058,1030.3208242136718,1030.3208806290058,,1045.1204754800056,1045.1204754800056,1053.1202070346737,1053.1203574700048,1067.9211062850009,,1053.1203574700048,1067.9211062850009,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,0,0,0,0,,,,,,,,,1071.9389555310045,1075.9372775166669,1075.9363798890045,1080.7257714156697,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,1,0,1,0,,,,,,,,,,1090.736199402669,1090.7358537510008,1095.5191620126682,1095.5417259240057,1105.5356517040054,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,2,0,2,0,,,,,,,,,,1105.5356728436711,1105.5356517040054,1110.3188285816689,1110.335471876002,1120.335413423003,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,3,0,3,0,,,,,,,,,,1120.3352539706723,1120.335413423003,1125.1184337016714,1125.1351147420064,1135.1348858130004,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,3,0,3,0,0,0,0,2,,,,,,,,,,,,,,,,,,,1135.1348858130004,1143.1346327970023,1143.1348569966688,1143.1346327970023,1147.934577376007,1157.940946035007,1157.940946035007,1165.9519566876736,1165.9507503170025,1180.751411049001,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,0,0,0,0,,,,,,,,,1184.751102317001,1188.7511327856666,1188.750268475007,1193.53340063967,1193.5500906130037,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
