stimuli_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,cue.started,cross_listen.started,beat1.started,cue.stopped,Instruction_next_trial.started,beat1.stopped,Instruction_next_trial.stopped,cross_listen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp0/snare_iso.wav,6,0,6,0,0,1,1,5,,,,,,,,529.7293101336666,529.7292949880002,533.7125394986672,533.7291641800002,541.7309049810001,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,6,0,6,0,0,2,2,3,,,,,,,,542.728890147667,542.7330368290004,546.7149983596667,546.7289040350006,554.7286161290003,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,6,0,6,0,0,3,3,4,,,,,,,,555.729907930667,555.7287149880003,559.7118776366672,,567.7282662140005,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,6,0,6,0,0,4,4,2,,,,,,,,568.7282709246667,568.7284966349998,572.7115163856672,,580.7279593949997,580.714914786,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,6,0,6,0,0,5,5,0,,,,,,,,581.7329873846668,581.72991456,585.7111815826668,,593.7442893710004,593.7107933360003,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,6,0,6,0,,,,,,,,,,,,,,,,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,7,0,7,0,0,0,0,4,,,,,,,,594.7442986266672,594.7506707920002,598.7108964736665,598.7446323000004,606.7439681229998,606.710667929,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,7,0,7,0,0,1,1,2,,,,,,,,607.7286466626667,607.7272424809998,611.7105554756665,,619.7270073950003,619.7103612150004,620.7270109749998,619.7270073950003,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,7,0,7,0,0,2,2,0,,,,,,,,620.7269536646666,620.7270109749998,624.7102044906671,624.7268421220006,632.7264598210004,632.710821523,,632.7264598210004,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,7,0,7,0,0,3,3,1,,,,,,,,633.7306577616666,633.7275289380004,637.7265449046665,,645.7262722730002,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
