stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,cross_listen.stopped,text_3.started,text_3.stopped,cue_tap_imagine.started,cross_imagine.started,text.started,cue_tap_imagine.stopped,cross_imagine.stopped,text.stopped,text_4.started,text_4.stopped,cue_imagine.started,cross_imagine_2.started,text_2.started,cue_imagine.stopped,cross_imagine_2.stopped,text_2.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp1.wav,2,0,2,0,0,1,1,0,,,,,,,,,,,,,,,,,,,818.8928784579621,819.8846579159726,819.8921741246634,819.8846579159726,819.8846579159726,,834.6733094580122,834.6733094580122,834.6854389999644,835.6759296249948,835.6925962916614,835.6850095000118,835.6850095000118,,850.4839084579726,850.4839084579726,850.4839084579726,853.4742316249758,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,2,0,2,0,0,2,2,2,0,0,0,0,,,,,,,,,853.4840660410118,855.4979913746395,855.4872300829738,860.2900054166714,,870.2830495410017,,,,,,,,,,,,,,,,,,,855.4813247079728,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,2,0,2,0,0,2,2,2,1,0,1,0,,,,,,,,,,870.289723457656,870.2830495410017,875.073992957656,875.0831373750116,885.0758526249556,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,2,0,2,0,0,2,2,2,2,0,2,0,,,,,,,,,,885.0826488326459,885.0758526249556,889.8661091246215,889.8721047499566,899.8815638750093,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,2,0,2,0,0,2,2,2,3,0,3,0,,,,,,,,,,899.8822136246638,899.8815638750093,904.6715012916286,904.670670832973,914.6720092499745,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,914.6720092499745,915.675842333003,915.6819072496767,915.675842333003,915.675842333003,920.470715790987,930.4710006659734,930.4710006659734,930.4710006659734,931.4628819579957,931.4702030826631,931.4628819579957,931.4628819579957,936.2647376660025,946.2513622909901,946.2513622909901,946.2640699999756,949.2627302909968,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,949.2682402079809,951.2691552916697,951.2660872910055,956.0711998326626,956.0633967499598,966.0623392499983,,,,,,,,,,,,,,,,,,,951.2660872910055,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,966.0687017496714,966.0623392499983,970.8630296246304,970.8630268329871,980.8560918329749,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,980.8626212076672,980.8560918329749,985.6461357496485,985.6509691249812,995.6594157500076,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,995.6620706246506,995.6594157500076,1000.4512080826719,1000.4502472080057,1010.4517038330087,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1010.4517038330087,1011.4437752079684,1011.4512262076644,1011.4437752079684,1011.4437752079684,,1026.2327923330013,1026.2327923330013,1026.24373787496,1027.2356844579917,1027.2523511246584,1027.243578790978,1027.243578790978,,1042.0309882909642,1042.0309882909642,1042.0441587499809,1045.031441457977,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,0,0,0,0,,,,,,,,,1045.0429796249955,1047.056218249669,1047.0450753750047,1051.8481248746432,,1061.8517157500028,,,,,,,,,,,,,,,,,,,1047.0395515830023,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,1,0,1,0,,,,,,,,,,1061.8496076666672,1061.8517157500028,1066.6420087076297,1066.6480856660055,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,2,0,2,0,,,,,,,,,,1076.65815079166,1076.6523679159582,1081.4414811246718,1081.4466414579656,1091.4527580830036,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,3,0,3,0,,,,,,,,,,1091.4577691246561,1091.4527580830036,1096.2419142496694,1096.2469929159852,1106.2473677909584,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,3,0,3,0,0,1,1,1,,,,,,,,,,,,,,,,,,,1106.2473677909584,1107.2398925829912,1107.2469622076644,1107.2398925829912,1107.2398925829912,1112.0410678329645,1122.0300743329572,1122.0300743329572,1122.0300743329572,1123.0327599999728,1123.0494266666394,1123.0396213749773,1123.0396213749773,,1137.8277055000071,1137.8277055000071,1137.8392568329582,1140.8286305409856,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,3,0,3,0,0,2,2,2,0,0,0,0,,,,,,,,,1140.839189958002,1142.8551639576365,1142.844135791005,1147.6449723326407,,1157.6418522080057,,,,,,,,,,,,,,,,,,,1142.8384972909698,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,3,0,3,0,0,2,2,2,1,0,1,0,,,,,,,,,,1157.6435438746742,1157.6418522080057,1162.428070457656,1162.4383735409938,1172.44170716597,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,3,0,3,0,0,2,2,2,2,0,2,0,,,,,,,,,,1172.4435366246655,1172.44170716597,1177.2376848746246,1177.2379487910075,1187.2362750410102,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,3,0,3,0,0,2,2,2,3,0,3,0,,,,,,,,,,1187.243967541672,1187.2362750410102,1192.0369874166247,1192.0370679579792,1202.0264508749824,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,3,0,3,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1202.0264508749824,1203.0228011249565,1203.0259474166708,1203.0228011249565,1203.0228011249565,1207.819696499966,1217.819205250009,1217.819205250009,1217.819205250009,1218.8164692499558,1218.8197870826737,1218.8164692499558,1218.8164692499558,1223.6084003329743,1233.6085044579813,1233.6085044579813,1233.618813915993,1236.616746124986,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
